Freq.	V(a)
1.00000000000000e+003	(-1.85268736862931e-002dB,-5.71521398518063e-001°)
1.27427498570313e+003	(-2.94949738274752e-002dB,-7.11291257535733e-001°)
1.62377673918872e+003	(-4.64161389537143e-002dB,-8.72937434030248e-001°)
2.06913808111479e+003	(-7.17649827298347e-002dB,-1.04834825553628e+000°)
2.63665089873036e+003	(-1.08096293450991e-001dB,-1.21842995812750e+000°)
3.35981828628378e+003	(-1.56938380474346e-001dB,-1.34977429042662e+000°)
4.28133239871940e+003	(-2.17047835523065e-001dB,-1.39718159887108e+000°)
5.45559478116852e+003	(-2.82941445534572e-001dB,-1.31668807288276e+000°)
6.95192796177561e+003	(-3.45305231285069e-001dB,-1.08579355991350e+000°)
8.85866790410082e+003	(-3.93778171789329e-001dB,-7.16977007700997e-001°)
1.12883789168469e+004	(-4.20256224328441e-001dB,-2.54020808666989e-001°)
1.43844988828766e+004	(-4.20575451541834e-001dB,2.42352550613547e-001°)
1.83298071083244e+004	(-3.94687458008868e-001dB,7.06845189726909e-001°)
2.33572146909012e+004	(-3.46657307100053e-001dB,1.07850509879634e+000°)
2.97635144163132e+004	(-2.84506682263243e-001dB,1.31296796795690e+000°)
3.79269019073225e+004	(-2.18577823543804e-001dB,1.39689954337248e+000°)
4.83293023857175e+004	(-1.58249208723338e-001dB,1.35206641542287e+000°)
6.15848211066025e+004	(-1.09110110025123e-001dB,1.22216315614753e+000°)
7.84759970351461e+004	(-7.24919153833735e-002dB,1.05255595575311e+000°)
1.00000000000000e+005	(-4.69103790588997e-002dB,8.76997790543665e-001°)
